"01-01-2003	48003.5"
"01-02-2003	47956.5"
"01-03-2003	47922.2"
"01-04-2003	47879.4"
"01-05-2003	47844.2"
"01-06-2003	47812.9"
"01-07-2003	47789.6"
"01-08-2003	47766.7"
"01-09-2003	47745.64"
"01-10-2003	47720.094"
"01-11-2003	47690.36"
"01-12-2003	47658.315"
"01-01-2004	47622.436"
"01-02-2004	47576.831"
"01-03-2004	47548.677"
"01-04-2004	47516.702"
"01-05-2004	47490.091"
"01-06-2004	47465.003"
"01-07-2004	47441.004"
"01-08-2004	47423.03"
"01-09-2004	47403.732"
"01-10-2004	47383.486"
"01-11-2004	47354.005"
"01-12-2004	47318.945"
"01-01-2005	47280.8"
"01-02-2005	47242.9"
"01-03-2005	47207.128"
"01-04-2005	47166.163"
"01-05-2005	47134.675"
"01-06-2005	47100.419"
"01-07-2005	47075.295"
"01-08-2005	47056.163"
"01-09-2005	47033.979"
"01-10-2005	47015.251"
"01-11-2005	46988.212"
"01-12-2005	46958.74"
"01-01-2006	46929.5"
"01-02-2006	46886.356"
"01-03-2006	46859.049"
"01-04-2006	46831.664"
"01-05-2006	46806.077"
"01-06-2006	46778.668"
"01-07-2006	46756.618"
"01-08-2006	46741.084"
"01-09-2006	46725.693"
"01-10-2006	46710.831"
"01-11-2006	46688.27"
"01-12-2006	46667.646"
"01-01-2007	46646"
"01-02-2007	46614.828"
"01-03-2007	46590.443"
"01-04-2007	46559.578"
"01-05-2007	46533.71"
"01-06-2007	46506.846"
"01-07-2007	46490.819"
"01-08-2007	46474.535"
"01-09-2007	46460.251"
"01-10-2007	46446.083"
"01-11-2007	46424.19"
"01-12-2007	46398.114"
"01-01-2008	46372.7"
"01-02-2008	46337.34"
"01-03-2008	46314.736"
"01-04-2008	46287.138"
"01-05-2008	46263.079"
"01-06-2008	46239.661"
"01-07-2008	46221.981"
"01-08-2008	46211.075"
"01-09-2008	46200.876"
"01-10-2008	46191.022"
"01-11-2008	46179.226"
"01-12-2008	46162.805"
"01-01-2009	46143.7"
"01-02-2009	46115.941"
"01-03-2009	46101.767"
"01-04-2009	46080.455"
"01-05-2009	46061.403"
"01-06-2009	46044.718"
"01-07-2009	46029.281"
"01-08-2009	46022.306"
"01-09-2009	46016.186"
"01-10-2009	46011.345"
"01-11-2009	45999.934"
"01-12-2009	45982.936"
"01-01-2010	45962.9"
"01-02-2010	45939.82"
"01-03-2010	45923.233"
"01-04-2010	45905.341"
"01-05-2010	45888.365"
"01-06-2010	45871.738"
"01-07-2010	45859.818"
"01-08-2010	45850.918"
"01-09-2010	45831.408"
"01-10-2010	45822.214"
"01-11-2010	45808.893"
"01-12-2010	45795.911"
"01-01-2011	45778.5"
"01-02-2011	45760.051"
"01-03-2011	45745.213"
"01-04-2011	45724.242"
"01-05-2011	45706.126"
"01-06-2011	45687.162"
"01-07-2011	45674.977"
"01-08-2011	45670.036"
"01-09-2011	45668.028"
"01-10-2011	45665.281"
"01-11-2011	45655.163"
"01-12-2011	45644.419"
"01-01-2012	45633.6"
"01-02-2012	45617.542"
"01-03-2012	45603.21"
"01-04-2012	45589.171"
"01-05-2012	45573.607"
"01-06-2012	45565.909"
"01-07-2012	45561.989"
"01-08-2012	45560.272"
"01-09-2012	45559.058"
"01-10-2012	45559.235"
"01-11-2012	45560.255"
"01-12-2012	45560.251"
"01-01-2013	45553"
"01-02-2013	45539.121"
"01-03-2013	45529.408"
"01-04-2013	45512.989"
"01-05-2013	45495.252"
"01-06-2013	45480.315"
"01-07-2013	45469.812"
"01-08-2013	45464.917"
"01-09-2013	45461.627"
"01-10-2013	45455.065"
"01-11-2013	45447.01"
"01-12-2013	45439.822"
"01-01-2014	45426.2"
"01-02-2014	45410.071"
"01-03-2014	45395.604"
"01-04-2014	45377.581"
"01-05-2014	43009.258"
"01-06-2014	42995.52"
"01-07-2014	42988.026"
"01-08-2014	42981.85"
"01-09-2014	42977.367"
"01-10-2014	42973.696"
"01-11-2014	42965.105"
"01-12-2014	42953.889"
"01-01-2015	42928.9"
"01-02-2015	42910.885"
"01-03-2015	42895.704"
"01-04-2015	42873.583"
"01-05-2015	42854.106"
"01-06-2015	42836.922"
"01-07-2015	42823.188"
"01-08-2015	42813.557"
"01-09-2015	42805.731"
"01-10-2015	42800.501"
"01-11-2015	42789.472"
"01-12-2015	42774.605"
"01-01-2016	42760.5"
"01-02-2016	42738.07"
"01-03-2016	42721.954"
"01-04-2016	42708.647"
"01-05-2016	42692.393"
